38.0,0,（畅销二十年经典。新修足本，增补近10万评点文字。增为四册。中央工委受国家干部喜欢的10本书第三名。中纪委推荐全国干部阅读。）,出版时间:2016年04月,北京联合出版公司,国际标准书号ISBN：9787550269378,历史,大清名相曾国藩（肆）：天意难回,小说,唐浩明,36.1,http://img3m0.ddimg.cn/14/15/23930690-1_w_6.jpg,5ee96bf8360d930a489db22e
5ee96bf8360d930a489db22f,小说,历史,0
39.0,0,张爱玲自传小说三部曲之一，四十年心路呈现，道尽亲情纠葛、家族荣枯，堪称民国版《红楼梦》,出版时间:2016年07月,北京十月文艺出版社,国际标准书号ISBN：9787530215005,历史,易经,小说,张爱玲,39.0,http://img3m0.ddimg.cn/32/1/24001790-1_w_4.jpg,5ee96bf9360d930a489db230
350.0,0,随书附赠精美御笔书签；经反复编校核验新版本修改错误百余处更近乎完美。,出版时间:2018年11月,长江文艺出版社,国际标准书号ISBN：9787535483171,历史,乾隆皇帝（全六册）（二月河文集彩插珍藏版-官方全新修订）,小说,二月河,350.0,http://img3m1.ddimg.cn/80/6/26435951-1_w_5.jpg,5ee96bfa360d930a489db231
598.0,0,1935年会文堂初始定本，一字未删原貌重现！,出版时间:2012年08月,中国书店出版社,国际标准书号ISBN：9787514903867,历史,历朝通俗演义：3万多好评，极具小说阅读快感的“二十四史”，顾颉刚、二月河、马伯庸力荐！（全21册）,小说,蔡东藩,468.0,http://img3m9.ddimg.cn/61/26/22850449-1_w_10.jpg,5ee96bfb360d930a489db232
128.0,0,获中宣部“五个一工程”奖、全票获得第六届茅盾文学奖、首届姚雪垠长篇历史小说奖、被誉为中国新时期长篇小说的里程碑。,出版时间:2016年10月,长江文艺出版社,国际标准书号ISBN：9787535490056,历史,张居正（全四册）（长篇历史小说经典书系）,小说,熊召政,117.2,http://img3m3.ddimg.cn/22/33/24135133-1_w_5.jpg,5ee96bfc360d930a489db233
39.0,0,,出版时间:2014年07月,广西师范大学出版社,国际标准书号ISBN：9787549556090,历史,大唐李白-凤凰台,小说,张大春,37.4,http://img3m8.ddimg.cn/18/19/23520438-1_w_1.jpg,5ee96bfd360d930a489db234
25.0,0,,出版时间:2013年06月,北京十月文艺出版社,国际标准书号ISBN：9787530212912,历史,楼兰（早已消失在黄沙尽头的楼兰，正在井上靖笔下得以复活！）,小说,井上靖新经典,25.0,http://img3m1.ddimg.cn/14/28/23238581-1_w_1.jpg,5ee96bfe360d930a489db235
5ee96bff360d930a489db236,小说,历史,0
99.0,0,（一字未删，原貌呈现手稿！白岩松、柳传志、宗庆后鼎力推荐！政商必读！公务员干部必读书目！了解千古名臣曾国藩的经典，读懂中国式处世智慧的殿堂之作！）读客熊猫君出品,出版时间:2017年04月,文汇出版社,国际标准书号ISBN：9787549620340,历史,曾国藩（套装全3册）（白岩松推荐！修订老版讹误106处！唐浩明独家作序认可版本！）,小说,唐浩明读客文化,97.0,http://img3m1.ddimg.cn/29/11/24229091-1_w_16.jpg,5ee96c00360d930a489db237
